Question,Answer
بچه ها کسی جوابی برای این سوال داره؟,بررسی میکنم
بررسی میکنم,منم بررسی کردم فکر می کنم اگه شرطش رو به این صورت بنویسه مشکل حل میشه
ولی این روشی که الان شما گفتی هم درسته و توی به درستی کار می کنه,اگه امنیتشون یکیه که از همون استفاده کنم ؟
اگه امنیتشون یکیه که از همون استفاده کنم ؟,اره مشکلی نداره
نه به نظر منم خوب نیست حالا یه چیزی، ولی نه واقعا,ایده منه
سلام ماهان، خوش اومدی,ممنون اقا سجاد
ممنون اقا سجاد,شنیدم شما اپ زدی درسته؟ با چه زبانی؟ جاوا یا ری اکت یا ؟
آها، بسیار عالی,تشکر
آها، بسیار عالی,شما چطور؟با چه زبانی کار میکنید؟
شما چطور؟با چه زبانی کار میکنید؟,بنده کار هستم
سینگل تون میدونی چیه؟,منظورتون یه کلاس یکتا هست که اون است و فقط در آن واحد یه نمونه داره؟
بنده کار هستم,بسیار عالی
منظورتون یه کلاس یکتا هست که اون است و فقط در آن واحد یه نمونه داره؟,بله دقیقا
بله دقیقا,من خیلی از دیزاین پترن ها نمیدونم ایا این دیزاین پترن است؟
من خیلی از دیزاین پترن ها نمیدونم ایا این دیزاین پترن است؟,بله یک دیزاین پترن هست
با این شرایط نرم ارز، واقعا کار کردن دیگه فایده نداره، کسی از دوستان تا به حال دلاری کار کرده؟,نرم ارز؟
من شخصا پروژه ای ولی خب هرچی هم که باشه تومان داریم پول میگیریم,خب بیمه و ؟ صرف میکنه اطمینانی به داشتن درآمد ثابت دارید ؟
آها الان در موردش سرچ کردم و ظاهرا زبان سبُک و جدیدیه نه راستش من کار نکردم باهاش شاید دیگر دوستان باهاش کار کرده باشن,ممنون
رو لینوکس نصب میشه یعنی؟,بله
رو لینوکس نصب میشه یعنی؟,لازم داشتید بگید سورس ضد دیلیت و اوپن نیست
این پلاگین شما دقیقا چی کار می کنه اگه رو سرور نصبش کنم؟,میخواید تبچی نصب کنید روش ؟؟
تبچی دقیقا چیه؟,الان توضیح میدم خدمتتون
متشکرم,خب متوجه شدید
با نوشتی؟,پایتون لوا
دوستان كسيربا ديتا بيس هاي نو اس كيو ال كار كرده؟,چه دیتابیسی دقیقا؟
چطور ميتونم به دينابيس رديس بگم كه اطلاعات روي رم سرور نگهداري كنه؟,ببین به صورت پیش فرض روی رم نگهدار می کنه
ببین به صورت پیش فرض روی رم نگهدار می کنه,از كجا بفهمم؟
راستی ببین رشتت گرافیکه شما؟,بله رشته ام گرافیک هستش
راستی ببین رشتت گرافیکه شما؟,بله داداش رشته ام گرافیک هستش
بله رشته ام گرافیک هستش,چه نوع گرافیکی؟ هم دیزاین می کنی؟
چه نوع گرافیکی؟ هم دیزاین می کنی؟,نه دیزاین نمی کنم داداش
نه دیزاین نمی کنم داداش,یعنی تو کار بنر کارت ویزیت پوستر و هستی؟
یعنی تو کار بنر کارت ویزیت پوستر و هستی؟,بله تو کار بنر پوستر کارت ویزیت طراحی لوگو و
بله تو کار بنر پوستر کارت ویزیت طراحی لوگو و,آها خیلی هم عالی
آها خیلی هم عالی,من امسال سال آخری هستم و امسال دیپلمم را می گیرم
ببین به صورت پیش فرض روی رم نگهدار می کنه,ببخشيد ديتابيس ها نو اسكيوال محدوديت حجمي دارن؟
دادا من دنبال کار هستم تو مشهد کار سراغ نداری دادا,والا توی مشهد که نه، ولی شاید بتونی توی پونیشا پروژه برداری یا اینکه به سوالات توی لام تا کام در حوزه گرافیک جواب بدی و پول در بیاری
ببخشيد ديتابيس ها نو اسكيوال محدوديت حجمي دارن؟,همه ی نو اسکیوال ها نه، ولی ردیس مگ هست به صورت پیش فرض محدودیتش
والا توی مشهد که نه، ولی شاید بتونی توی پونیشا پروژه برداری یا اینکه به سوالات توی لام تا کام در حوزه گرافیک جواب بدی و پول در بیاری,دادا تو سایت پونیشا رفتم ولی کسی نیومد
دادا تو سایت پونیشا رفتم ولی کسی نیومد,باید قیمت کم پیشنهاد بدی
باید قیمت کم پیشنهاد بدی,قیمت کم پیشنها دادم ولی بازم نیومد
قیمت کم پیشنها دادم ولی بازم نیومد,چی بگم
منظورش چیه رو به روت تبدیل کنم ؟,درست نمی دونم، ولی فکر کنم می خواد وقتی پروژه رو داره ران می کنه فولدر توی نباشه
درست نمی دونم، ولی فکر کنم می خواد وقتی پروژه رو داره ران می کنه فولدر توی نباشه,به طور عادی نیست که
الان شما پروژه لاراول داری روی سیستمت؟,بله
بله,پروژه رو اجرا کن و رو به من نشون بده
براش کامنت بزار,این دفعه درست کامنت گذاشتم ؟
این دفعه درست کامنت گذاشتم ؟,نه جواب گذاشتی ولی اوکیه
نه جواب گذاشتی ولی اوکیه,بالاخره یاد میگیرم
طراح سایت خواستین پیوی,ورد پرس هم كار ميكنيد شما؟
بله اگه لازم شد با يا وصل ميشيم و كمك ميكنيم، ولي فعلا كد رو ببينيم شايد مشكل ساده بود و حل شد,اکی
تا ستون دارم ولی باز چیزی ثبت نشد تو دیتا بیس,خب شما تو كوئري زدي كه ٧ تا ستون داره ولي توب ابن رت ٥ تا مقدار گذاشتي
تست کردم نشد,سوالت رو توی لام تا کام بپرس کد کاملت رو هم بزار اونجا میایم جواب دقیق رو برات با کد می نویسیم
سوالت رو توی لام تا کام بپرس کد کاملت رو هم بزار اونجا میایم جواب دقیق رو برات با کد می نویسیم,اکی یکی برام قرار شده توضیح بده اگ نشد حتما
اضافه هاش رو پاک کردم,به این شکل بزاری درست نمیشه؟
به این شکل بزاری درست نمیشه؟,سلام اکی شد بالاخره
سلام اکی شد بالاخره,سلام از چی بود؟
دوستان کسی داریم اینجا با افزونه ویژوال کامپوزر کار کرده باشه؟,بله بفرمائید
بله بفرمائید,چجوری میشه اندازه ستون ها و ردیف ها رو مدیریت کرد؟
به یک برنامه نویس و نیازمندیم,یعنی هم لاراول بدونه هم انگولار؟ یا از هر کدوم یکی؟
حل شده مشکل ولی توی لام تا کام نمیتونم به عنوان حل شده بزنم,بررسی میکنم
بررسی میکنم,شما مدیری؟
سلام دوستان استفاده از بوت استرپ چقدر تو زمان و کیفیت کد نویسی تاثیر داره؟,اگه فقط می خوای باهاش گرید بندی رو انجام بدی، این کار رو نکن، بی خودی سنگینه
دوستان كسي ميدونه چرا روي سرور كار نمي كنه ولي رو لوكال كامل درست كار ميكنه؟,احتمالا نصب نیست رو سرور
دوستان كسي ميدونه چرا روي سرور كار نمي كنه ولي رو لوكال كامل درست كار ميكنه؟,دسترسی اون فایلی که داری توش رو اجرا می می کنی چنده؟ ؟
احتمالا نصب نیست رو سرور,كلا يه چيزيه از خودش نصب ميشه
دسترسی اون فایلی که داری توش رو اجرا می می کنی چنده؟ ؟,نميدونم من دست نزدم
نميدونم من دست نزدم,نسخه روش تاثیری نداره ؟
نسخه روش تاثیری نداره ؟,اخه ورژن لوكال و سرور يكسان هستن، ٧ ١ هستن
كلا يه چيزيه از خودش نصب ميشه,نه خودش به صورت پیش فرض نصب نیست یه افزونه هست که جدا باید نصب کنی
چه گروه خوبی ممنون,متشکرم، خوش آمدید
اره ببین منم فکر نمی کنم مرورگر بدون اجازه بتونه از سخت افزار مثل دوربین استفاده بکنه,شدني نيست
سلام,سلام خوش اومدین
سلام,سلام خوش اومدید
دوستان اینجا من چند سوال دارم میخوام ویندوز هشتو دانلود کنم اولا اون کدی که گفته اولین بار نصب کنید نیازتون میشه از کجا بیاریمش و بعدش قسمت کدومو انتخاب کنیم؟,خب ببین کدوم ورژن از ویندوز رو می خوای؟
دوستان اینجا من چند سوال دارم میخوام ویندوز هشتو دانلود کنم اولا اون کدی که گفته اولین بار نصب کنید نیازتون میشه از کجا بیاریمش و بعدش قسمت کدومو انتخاب کنیم؟,چند بیت می خوای نصب کنی
پس به نظر کم اینو نصب کن,درباره اون کدی که گفته چی؟
درباره اون کدی که گفته چی؟,کد؟ کدومش؟
دوستان اینجا من چند سوال دارم میخوام ویندوز هشتو دانلود کنم اولا اون کدی که گفته اولین بار نصب کنید نیازتون میشه از کجا بیاریمش و بعدش قسمت کدومو انتخاب کنیم؟,تو این عکس که توضیح داده
تو این عکس که توضیح داده,برای فعال سازیش منظورته؟
چجوری تصویر رو تبدیل به کد کنم دوست عزیز؟,باید و بلد باشبد دیگه
اونو بعدا یدونه فعال ساز میگریم و هندل می کنیم,از کجا میگیریم
از کجا میگیریم,سایت مثلا
سلام,سلام وقت بخیر
افزونه فرم تماس,این فقط برای وردپرس هست
الان لینک میدم,خب اینم لینک تست شده ی ویندوز
خب فقط توی اون ویندوز پروداکت کی مشکلی پیش نیاد که؟,نه اون کرک شدس من دوستم هم نصب کرده و اوکی بوده همه چیش
دوستان پروکسی جدید ندارید برای تلگرام؟؟؟,منم همینطور
سلام دوستان از دستور در سی شارپ برای چه زمانی یا به صورتی استفاده میشه ممنون میشم یکی جواب بده,وقتی می خوایند شرطی رو برقرار کنید
وقتی می خوایند شرطی رو برقرار کنید,میشه یک مثال بگید یه مثال کوتاه
مرسی,خواهش میکنم
خوش اومدید,ممنون
ممنون,چجوری میشه استریم کرد
یک سوال,بله
یک سوال,بپرس
چجوری میشه استریم کرد,باید از استفاده کنی یکی از راهاشه این یا یه سیستم پیاده کنی
خوش اومدید,مرسی
کاتلین,شما کاتلین کار کردی؟ من تویه یه استارت آپی زیاد در موردش شنیدم و ظاهرا خوبه
جاوا به نظرم بهتره,اشتباه نکنید جاوا دیگه منسوخ شده توی اندروید
اشتباه نکنید جاوا دیگه منسوخ شده توی اندروید,درسته ولی بنظرتون پایه جاوا قوی باشه بعد کاتلین بهتر نیس؟
اشتباه نکنید جاوا دیگه منسوخ شده توی اندروید,دارم جاوا میخونم از اول تا بتونم قواعد جاوا رو بفهمم بعد برم سراغ کاتلین
کاتلین فقط برای اندروید یکار نمیره، میتونه برای سایر پلتفرم ها هم کد بزنی,درسته ولی بیشتر روی اندروید که اومد معروف شد
مرسی از راهنمایی,خواهش میکنم
جاوا اسکریپت دقیقا آینده برنامه نویسیه,حتی از پایتون هم اینده دار تره ؟
جاوا اسکریپت دقیقا آینده برنامه نویسیه,خیلی وسعت نداره درکنار قوی هست ولی به تنهایی ن
حتی از پایتون هم اینده دار تره ؟,پایتون که خدای هک و اکسپلویت نویسی
الان ۹۰درصد هک دنیا با زبان پایتون پایتون مخصوص هک و امنیت,هم هک و امنیت و از اون مهم تر کارای تحلیلی
مدرس واقعی پایتون ساعتی۳۰۰ تدریس میکنه مدرس واقعیش خیلی کمه توی ایران,جادی عالیه در هر زمینه
جادی عالیه در هر زمینه,مخصوصا لینوکس
هم هک و امنیت و از اون مهم تر کارای تحلیلی,کارهای تحلیلی زبان خوبی نیست ضعف زیاد داره ولی توی هک و امنیت حرف اول میزنه
مخصوصا لینوکس,بله ی کتاب جدید داره مینویسه در مورد لینوکس
ما یه ماشین تحلیل گر ساختیم با پایتون ایام انتخابات، خیلی خوب واکشی تحلیل می کرد,این به الگوریتم ربط داره نه با زبان، نه؟
بله ی کتاب جدید داره مینویسه در مورد لینوکس,دستش درد نکنه واقعا
کارهای تحلیلی زبان خوبی نیست ضعف زیاد داره ولی توی هک و امنیت حرف اول میزنه,چی بگم اخه من با پایتون برای کارای تحلیلی کد زدم و کتابخونه های مرتبط زیادی داره
چی بگم اخه من با پایتون برای کارای تحلیلی کد زدم و کتابخونه های مرتبط زیادی داره,پایتون سری۲ کتابخونه هاش عالیه ولی سری ۳ هنوز کامل نیست
این به الگوریتم ربط داره نه با زبان، نه؟,به الگوریتم هم ربط داره ببین الگوریتم کلا پایه و اساس هر کدی هست شما یه الگوریتم مینویسی میکشی روی کاغذ یا حتی توی ذهنت ، بعد مشینی اونو به کد تبدیل می کنی
پایتون سری۲ کتابخونه هاش عالیه ولی سری ۳ هنوز کامل نیست,اره پایتون هنوز بتا هست از نظ من
اره پایتون هنوز بتا هست از نظ من,ولی دستوراتش بهتر از ۲ پایتون نویی های واقعی همه از سری ۲ استفاده میکنن
پایتون سری۲ کتابخونه هاش عالیه ولی سری ۳ هنوز کامل نیست,شاید اون کتابخونه ها هنوز اپدیت نشدن به پایتون ۳ اینجور نشون میده
شاید اون کتابخونه ها هنوز اپدیت نشدن به پایتون ۳ اینجور نشون میده,ن هنوز همه کتابخونه هاش برای ورژن۳ نیومده
ن هنوز همه کتابخونه هاش برای ورژن۳ نیومده,کم کم اون توسعه دهندها هم اپدیت میکنن
کم کم اون توسعه دهندها هم اپدیت میکنن,اره صددرصد
سلام خوش اومدید,سلام ، ممنون
سلام دوستان، طراح وب داریم اینجا؟,جانم؟
جانم؟,اشکال نداره بیام پی وی؟ چند تا سوال دارم
اشکال نداره بیام پی وی؟ چند تا سوال دارم,بله بفرمایید
سلام خوش اومدین,مر
مر,شما رشتتون چیه
شما رشتتون چیه,علوم کامپیوتر
